time,x,y,z,vx,vy,vz,v,rho,height
0.550000,33.348625,37.434101,20.009201,60.633900,65.315247,36.380341,96.260483,545.490283,37.434101
0.560000,33.954964,38.087254,20.373005,60.633900,65.217148,36.380341,96.193947,544.830131,38.087254
0.570000,34.561302,38.739426,20.736809,60.633900,65.119049,36.380341,96.127464,544.170785,38.739426
0.580000,35.167641,39.390617,21.100613,60.633900,65.020950,36.380341,96.061035,543.512296,39.390617
0.590000,35.773979,40.040829,21.464417,60.633900,64.922852,36.380341,95.994667,542.854613,40.040829
0.600000,36.380318,40.690056,21.828220,60.633900,64.824753,36.380341,95.928345,542.197786,40.690056
0.610000,36.986656,41.338303,22.192024,60.633900,64.726654,36.380341,95.862076,541.541762,41.338303
0.620000,37.592995,41.985569,22.555828,60.633900,64.628555,36.380341,95.795868,540.886595,41.985569
0.630000,38.199333,42.631855,22.919632,60.633900,64.530457,36.380341,95.729713,540.232230,42.631855
0.640000,38.805672,43.277161,23.283436,60.633900,64.432358,36.380341,95.663612,539.578705,43.277161
0.650000,39.412010,43.921486,23.647240,60.633900,64.334259,36.380341,95.597572,538.925997,43.921486
0.660000,40.018349,44.564827,24.011044,60.633900,64.236160,36.380341,95.531586,538.274142,44.564827
0.670000,40.624687,45.207188,24.374847,60.633900,64.138062,36.380341,95.465645,537.623089,45.207188
0.680000,41.231026,45.848568,24.738651,60.633900,64.039963,36.380341,95.399765,536.972888,45.848568
0.690000,41.837364,46.488968,25.102455,60.633900,63.941864,36.380341,95.333939,536.323487,46.488968
0.700000,42.443703,47.128387,25.466259,60.633900,63.843765,36.380341,95.268173,535.674937,47.128387
0.710000,43.050041,47.766827,25.830063,60.633900,63.745667,36.380341,95.202461,535.027171,47.766827
0.720000,43.656380,48.404282,26.193867,60.633900,63.647568,36.380341,95.136803,534.380271,48.404282
0.730000,44.262718,49.040756,26.557671,60.633900,63.549469,36.380341,95.071205,533.734168,49.040756
0.740000,44.869057,49.676250,26.921474,60.633900,63.451370,36.380341,95.005661,533.088915,49.676250
0.750000,45.475395,50.310764,27.285278,60.633900,63.353271,36.380341,94.940170,532.444459,50.310764
0.760000,46.081734,50.944298,27.649082,60.633900,63.255173,36.380341,94.874741,531.800851,50.944298
0.770000,46.688072,51.576851,28.012886,60.633900,63.157074,36.380341,94.809357,531.158039,51.576851
0.780000,47.294411,52.208420,28.376690,60.633900,63.058975,36.380341,94.744041,530.516075,52.208420
0.790000,47.900749,52.839008,28.740494,60.633900,62.960876,36.380341,94.678780,529.874905,52.839008
0.800000,48.507088,53.468616,29.104298,60.633900,62.862778,36.380341,94.613571,529.234565,53.468616
0.810000,49.113426,54.097244,29.468102,60.633900,62.764679,36.380341,94.548424,528.595035,54.097244
0.820000,49.719765,54.724892,29.831905,60.633900,62.666580,36.380341,94.483330,527.956351,54.724892
0.830000,50.326103,55.351559,30.195709,60.633900,62.568481,36.380341,94.418289,527.318459,55.351559
0.840000,50.932442,55.977245,30.559513,60.633900,62.470383,36.380341,94.353317,526.681411,55.977245
0.850000,51.538780,56.601948,30.923317,60.633900,62.372284,36.380341,94.288391,526.045155,56.601948
0.860000,52.145119,57.225670,31.287121,60.633900,62.274185,36.380341,94.223526,525.409741,57.225670
0.870000,52.751457,57.848412,31.650925,60.633900,62.176086,36.380341,94.158722,524.775103,57.848412
0.880000,53.357796,58.470173,32.014729,60.633900,62.077988,36.380341,94.093971,524.141323,58.470173
0.890000,53.964134,59.090954,32.378532,60.633900,61.979889,36.380341,94.029282,523.508332,59.090954
0.900000,54.570473,59.710754,32.742336,60.633900,61.881790,36.380341,93.964645,522.876182,59.710754
0.910000,55.176811,60.329571,33.106140,60.633900,61.783691,36.380341,93.900070,522.244820,60.329571
0.920000,55.783150,60.947407,33.469944,60.633900,61.685593,36.380341,93.835556,521.614298,60.947407
0.930000,56.389488,61.564262,33.833748,60.633900,61.587494,36.380341,93.771095,520.984564,61.564262
0.940000,56.995827,62.180138,34.197552,60.633900,61.489395,36.380341,93.706696,520.355668,62.180138
0.950000,57.602165,62.795033,34.561356,60.633900,61.391296,36.380341,93.642357,519.727559,62.795033
0.960000,58.208504,63.408947,34.925159,60.633900,61.293198,36.380341,93.578064,519.100272,63.408947
0.970000,58.814842,64.021881,35.288963,60.633900,61.195099,36.380341,93.513840,518.473786,64.021881
0.980000,59.421181,64.633835,35.652767,60.633900,61.097000,36.380341,93.449684,517.848137,64.633835
0.990000,60.027519,65.244804,36.016571,60.633900,60.998901,36.380341,93.385574,517.223271,65.244804
1.000000,60.633858,65.854790,36.380375,60.633900,60.900803,36.380341,93.321518,516.599241,65.854790
1.010000,61.240196,66.463799,36.744179,60.633900,60.802704,36.380341,93.257538,515.975994,66.463799
1.020000,61.846535,67.071823,37.107983,60.633900,60.704605,36.380341,93.193604,515.353582,67.071823
1.030000,62.452873,67.678871,37.471786,60.633900,60.606506,36.380341,93.129738,514.731936,67.678871
1.040000,63.059212,68.284935,37.835590,60.633900,60.508408,36.380341,93.065926,514.111139,68.284935
1.050000,63.665550,68.890022,38.199394,60.633900,60.410309,36.380341,93.002174,513.491123,68.890022
1.060000,64.271889,69.494125,38.563198,60.633900,60.312210,36.380341,92.938484,512.871940,69.494125
1.070000,64.878227,70.097244,38.927002,60.633900,60.214111,36.380341,92.874855,512.253535,70.097244
1.080000,65.484566,70.699387,39.290806,60.633900,60.116013,36.380341,92.811279,511.635963,70.699387
1.090000,66.090904,71.300545,39.654610,60.633900,60.017914,36.380341,92.747765,511.019169,71.300545
1.100000,66.697243,71.900726,40.018414,60.633900,59.919815,36.380341,92.684319,510.403205,71.900726
1.110000,67.303581,72.499924,40.382217,60.633900,59.821716,36.380341,92.620934,509.788019,72.499924
1.120000,67.909920,73.098145,40.746021,60.633900,59.723618,36.380341,92.557602,509.173647,73.098145
1.130000,68.516258,73.695381,41.109825,60.633900,59.625519,36.380341,92.494331,508.560066,73.695381
1.140000,69.122597,74.291634,41.473629,60.633900,59.527420,36.380341,92.431122,507.947313,74.291634
1.150000,69.728935,74.886909,41.837433,60.633900,59.429321,36.380341,92.367973,507.335336,74.886909
1.160000,70.335274,75.481201,42.201237,60.633900,59.331223,36.380341,92.304886,506.724185,75.481201
1.170000,70.941612,76.074516,42.565041,60.633900,59.233124,36.380341,92.241867,506.113809,76.074516
1.180000,71.547951,76.666847,42.928844,60.633900,59.135025,36.380341,92.178902,505.504259,76.666847
1.190000,72.154289,77.258194,43.292648,60.633900,59.036926,36.380341,92.115997,504.895465,77.258194
1.200000,72.760628,77.848564,43.656452,60.633900,58.938828,36.380341,92.053162,504.287513,77.848564
1.210000,73.366966,78.437950,44.020256,60.633900,58.840729,36.380341,91.990379,503.680332,78.437950
1.220000,73.973305,79.026360,44.384060,60.633900,58.742630,36.380341,91.927666,503.073975,79.026360
1.230000,74.579643,79.613785,44.747864,60.633900,58.644531,36.380341,91.865005,502.468388,79.613785
1.240000,75.185982,80.200233,45.111668,60.633900,58.546432,36.380341,91.802414,501.863625,80.200233
1.250000,75.792320,80.785698,45.475471,60.633900,58.448334,36.380341,91.739891,501.259631,80.785698
1.260000,76.398659,81.370178,45.839275,60.633900,58.350235,36.380341,91.677422,500.656450,81.370178
1.270000,77.004997,81.953682,46.203079,60.633900,58.252136,36.380341,91.615013,500.054046,81.953682
1.280000,77.611336,82.536201,46.566883,60.633900,58.154037,36.380341,91.552666,499.452462,82.536201
1.290000,78.217674,83.117744,46.930687,60.633900,58.055939,36.380341,91.490387,498.851638,83.117744
1.300000,78.824013,83.698303,47.294491,60.633900,57.957840,36.380341,91.428169,498.251640,83.698303
1.310000,79.430351,84.277878,47.658295,60.633900,57.859741,36.380341,91.366020,497.652409,84.277878
1.320000,80.036690,84.856476,48.022099,60.633900,57.761642,36.380341,91.303925,497.053996,84.856476
1.330000,80.643028,85.434090,48.385902,60.633900,57.663544,36.380341,91.241890,496.456347,85.434090
1.340000,81.249367,86.010727,48.749706,60.633900,57.565445,36.380341,91.179932,495.859509,86.010727
1.350000,81.855705,86.586380,49.113510,60.633900,57.467346,36.380341,91.118027,495.263442,86.586380
1.360000,82.462044,87.161057,49.477314,60.633900,57.369247,36.380341,91.056190,494.668191,87.161057
1.370000,83.068382,87.734749,49.841118,60.633900,57.271149,36.380341,90.994415,494.073695,87.734749
1.380000,83.674721,88.307457,50.204922,60.633900,57.173050,36.380341,90.932709,493.480021,88.307457
1.390000,84.281059,88.879189,50.568726,60.633900,57.074951,36.380341,90.871056,492.887109,88.879189
1.400000,84.887398,89.449936,50.932529,60.633900,56.976852,36.380341,90.809471,492.295010,89.449936
1.410000,85.493736,90.019707,51.296333,60.633900,56.878754,36.380341,90.747955,491.703673,90.019707
1.420000,86.100075,90.588493,51.660137,60.633900,56.780655,36.380341,90.686501,491.113139,90.588493
1.430000,86.706413,91.156303,52.023941,60.633900,56.682556,36.380341,90.625114,490.523374,91.156303
1.440000,87.312752,91.723129,52.387745,60.633900,56.584457,36.380341,90.563789,489.934418,91.723129
1.450000,87.919090,92.288971,52.751549,60.633900,56.486359,36.380341,90.502533,489.346214,92.288971
1.460000,88.525429,92.853836,53.115353,60.633900,56.388260,36.380341,90.441330,488.758827,92.853836
1.470000,89.131767,93.417717,53.479156,60.633900,56.290161,36.380341,90.380203,488.172198,93.417717
1.480000,89.738106,93.980621,53.842960,60.633900,56.192062,36.380341,90.319138,487.586377,93.980621
1.490000,90.344444,94.542542,54.206764,60.633900,56.093964,36.380341,90.258141,487.001313,94.542542
1.500000,90.950783,95.103477,54.570568,60.633900,55.995865,36.380341,90.197205,486.417047,95.103477
1.510000,91.557121,95.663437,54.934372,60.633900,55.897766,36.380341,90.136337,485.833546,95.663437
1.520000,92.163460,96.222412,55.298176,60.633900,55.799667,36.380341,90.075531,485.250850,96.222412
